number,val_loss,train_loss,alpha,dropout,layer_size,lr,num_layers,optimizer,duration_sec,mae,r2,seed,duration
111,6.128745866362806e-08,3.1869724415913014e-13,0.0,0.0,853,0.0007082582540273431,8,AdamW,3.8061256408691406,0.00020385623793117702,0.9595870971679688,15557,0 days 00:00:03.807035
36,1.1068102168110272e-07,3.9554471698011184e-08,0.0,0.0,954,0.000978516743999568,13,AdamW,3.3771169185638428,0.00027658851468004286,0.9270170331001282,15557,0 days 00:00:03.379255
107,1.142365206874274e-07,1.3525217390508715e-08,0.0,0.0,827,0.0007283891451815541,8,AdamW,1.6737723350524902,0.00023278367007151246,0.924672544002533,15557,0 days 00:00:01.675303
113,1.1780927167137634e-07,2.168022206205933e-08,0.0,0.0,873,0.0007285908301132369,8,AdamW,1.7975311279296875,0.0002702151541598141,0.9223166704177856,15557,0 days 00:00:01.798807
101,1.2250707470684574e-07,1.8725721417922614e-08,0.0,0.0,822,0.0009057799110285268,8,AdamW,3.617558240890503,0.00027304599643684924,0.9192189574241638,15557,0 days 00:00:03.618916
143,1.2527416970442573e-07,2.044560432068465e-08,0.0,0.0,556,0.000602497278351231,10,AdamW,1.3464999198913574,0.0002957351098302752,0.9173943400382996,15557,0 days 00:00:01.347063
46,1.258740098819544e-07,7.124834411342817e-08,0.0,0.0,832,0.0007485971849533988,8,AdamW,1.4243268966674805,0.0002618977741803974,0.9169988036155701,15557,0 days 00:00:01.425314
54,1.2697206841494335e-07,2.240045038348626e-09,0.0,0.0,691,0.00025804710340650777,7,AdamW,1.0909318923950195,0.0002657474542502314,0.9162747263908386,15557,0 days 00:00:01.093447
112,1.5316858537062217e-07,3.59343749201102e-10,0.0,0.0,857,0.0007050219152145838,7,AdamW,2.487450122833252,0.0003062756441067904,0.8990007638931274,15557,0 days 00:00:02.488066
51,1.5951145826420543e-07,5.960616444866673e-09,0.0,0.0,829,0.000576120163431836,9,AdamW,2.018461227416992,0.00034012802643701434,0.8948182463645935,15557,0 days 00:00:02.020386
